time_ps,global_n_hbonds,global_nhbond,global_n_water,interface_a_n_hbonds,interface_a_nhbond,interface_a_n_water,bulk_n_hbonds,bulk_nhbond,bulk_n_water,interface_b_n_hbonds,interface_b_nhbond,interface_b_n_water
0.0000,659,3.295000,400,115,3.709677,62,225,3.488372,129,120,3.692308,65
10.0000,655,3.275000,400,114,3.507692,65,220,3.437500,128,125,3.906250,64
20.0000,664,3.320000,400,114,3.562500,64,230,3.432836,134,121,3.967213,61
30.0000,663,3.315000,400,112,3.555556,63,242,3.585185,135,119,3.718750,64
40.0000,648,3.240000,400,103,3.491525,59,233,3.530303,132,119,3.718750,64
50.0000,661,3.305000,400,110,3.492063,63,225,3.488372,129,118,3.746032,63
60.0000,667,3.335000,400,119,3.838710,62,231,3.526718,131,107,3.396825,63
70.0000,659,3.295000,400,115,3.593750,64,234,3.492537,134,120,3.692308,65
80.0000,656,3.280000,400,110,3.606557,61,234,3.416058,137,118,3.687500,64
90.0000,666,3.330000,400,111,3.468750,64,236,3.496296,135,117,3.836066,61
100.0000,668,3.340000,400,105,3.387097,62,243,3.547445,137,111,3.580645,62
110.0000,669,3.345000,400,120,3.692308,65,236,3.575758,132,117,3.774194,62
120.0000,658,3.290000,400,105,3.684211,57,231,3.553846,130,116,3.569231,65
130.0000,683,3.415000,400,116,3.682540,63,228,3.480916,131,114,3.864407,59
